,title,,,,,,target
0,"""想要充实自己，有哪 10 本书或者 10 部电影值得推荐？""",,,,,,0
1,"""印象中什么时候你对中国电影、电视剧最失望？""",,,,,,-1
2,"""有哪些好看的高智商悬疑电影？""",,,,,,1
3,"""谁是 2016 年的演技最差的男星？""",,,,,,-1
4,"""《不能说的秘密》是部好电影吗？""",,,,,,1
5,"""如果神话传说都是真的，世界会变成什么样子？""",,,,,,0
6,"""有没有一部电影让你在深夜中痛哭？""",,,,,,-1
7,"""现实中的警察像电影中那么勇猛吗？""",,,,,,0
8,"""如何评价电影《红海行动》？""",,,,,,1
9,"""如何看待王宝强亲自领金扫帚奖？""",,,,,,1
11,"""作为演员，拍吻戏是种怎样的体验？""",,,,,,0
12,"""什么样的青春片才是如今国内需要的？""",,,,,,1
13,"""你心目中有哪些实力的演员也适合花木兰这个角色？""",,,,,,-1
14,"""有哪些当时不懂后来才理解的电影台词或情节？""",,,,,,0
15,"""现实中的警察像电影中那么勇猛吗？""",,,,,,-1
16,"""为什么《摔跤吧！爸爸》争议这么大？""",,,,,,0
17,"""印象中什么时候你对中国电影、电视剧最失望？""",,,,,,-1
18,"""国产电影用八个月，交出了一份令人恶心的答卷""",,,,,,-1
19,"""一个演员的演技能烂到什么程度？""",,,,,,-1
20,"""有哪些好看的负能量电影？""",,,,,,0
21,"""我们的教育缺失，早被这部禁片预言""",,,,,,-1
22,"""在哪个镜头让你觉得一个演员演技爆炸？""",,,,,,1
23,"""最好的爱情是什么样子""",,,,,,1
24,"""有哪些爆笑恶搞的电影，能把人笑爆炸的那种？""",,,,,,1
25,"""《疯狂动物城》（Zootopia）中有哪些有趣的细节？""",,,,,,0
27,"""娱乐圈一场大会，炸出了这么多假演员真戏精！""",,,,,,-1
28,"""有哪些好看到让人浑身颤抖、无法自拔、久久不忘的电影？""",,,,,,0
29,"""有哪些可以令人笑得窒息的笑话？""",,,,,,0
30,"""豆瓣电影TOP250不够看？没关系，我把豆瓣8分以上的电影都给你（分类排序）""",,,,,,0
31,"""哪些精彩的打斗片段让你念念不忘？""",,,,,,1
32,"""如果可以选择，你想住进「同福客栈」还是「爱情公寓」？""",,,,,,1
34,"""《阿甘正传》中的珍妮频频离开阿甘是什么原因？""",,,,,,1
35,"""有哪些好看的负能量电影？""",,,,,,0
36,"""影视剧里有哪些很过瘾的怼人片段？""",,,,,,-1
37,"""有哪些烂到极致的神作？""",,,,,,-1
38,"""有哪些电影一定要趁年轻看？""",,,,,,0
40,"""你有什么道理后悔没有早点知道？""",,,,,,-1
41,"""如何长时间高效学习？""",,,,,,0
42,"""你有什么道理后悔没有早点知道？""",,,,,,0
43,"""死刑真的有威慑力吗？""",,,,,,-1
44,"""有哪些可以提升情商、判断力和谈话技巧的书籍？""",,,,,,0
45,"""一个女生怎样才算见过世面？""",,,,,,0
47,"""自控力极差的人如何自救？""",,,,,,1
48,"""有没有一部电影让你在深夜中痛哭？""",,,,,,-1
49,"""你遇到过哪些「赤裸裸暴露人性」的事情？""",,,,,,1
50,"""男女交往中男性的核心竞争力是什么？""",,,,,,0
51,"""你听到过或写下过最漂亮的一句话是什么？""",,,,,,1
52,"""男大学生寝室的关系可以可怕到什么程度？""",,,,,,1
53,"""成人世界的人际交往中有哪些潜台词？""",,,,,,0
54,"""异地恋如何维持长久？""",,,,,,0
55,"""现在的男性是否普遍不再对女性展开追求了？为什么？""",,,,,,-1
57,"""摧毁一个熊孩子有多困难？""",,,,,,-1
58,"""你有哪些给女孩子在谈恋爱中的忠告？""",,,,,,1
59,"""如何维护长期的恋爱关系？""",,,,,,1
61,"""生活中你有哪些观人术？""",,,,,,0
62,"""如何长时间高效学习？""",,,,,,0
63,"""你坚持过哪些细小的好习惯？""",,,,,,1
64,"""摧毁一个熊孩子有多困难？""",,,,,,1
65,"""人是怎么废掉的？""",,,,,,1
66,"""现在的男性是否普遍不再对女性展开追求了？为什么？""",,,,,,-1
67,"""有哪些可以提升情商、判断力和谈话技巧的书籍？""",,,,,,0
68,"""一个人智商高有多可怕？""",,,,,,0
69,"""情商低的人如何提高情商？""",,,,,,0
70,"""为什么上班都是坐着，还会感觉疲惫不堪？""",,,,,,-1
71,"""一个人智商高有多可怕？""",,,,,,0
72,"""为什么有的人没有恋爱需求？""",,,,,,1
75,"""如何看待 2016 年 4 月流行的让男朋友猜化妆品价格这件事？""",,,,,,1
76,"""人是怎么废掉的？""",,,,,,-1
77,"""贫穷会对人的身心造成多大的影响？""",,,,,,1
78,"""有哪些让你「心上开出一朵花」的瞬间？""",,,,,,0
79,"""你听到过或写下过最漂亮的一句话是什么？""",,,,,,1
80,"""女生会做饭是一种怎样的体验？""",,,,,,1
81,"""北京有哪些深藏不露的餐馆？""",,,,,,0
82,"""中国人到底有多能吃？""",,,,,,1
83,"""能吃是种怎样的体验？""",,,,,,1
84,"""在家如何做出美味的火锅汤底、蘸料？""",,,,,,0
85,"""女生会做饭是一种怎样的体验？""",,,,,,0
87,"""做饭给自己一人吃，如何最快速，且营养有保证？""",,,,,,0
88,"""你有哪些买了又买吃了又吃的零食推荐？""",,,,,,1
89,"""学医的吃脏器比如卤煮是什么感受？""",,,,,,1
90,"""做饭给自己一人吃，如何最快速，且营养有保证？""",,,,,,0
91,"""你有吃东西吃哭了的经历吗？""",,,,,,-1
92,"""有什么相见恨晚的零食？""",,,,,,0
93,"""如何掌握做超级好吃便当的技能？""",,,,,,0
94,"""你有吃东西吃哭了的经历吗？""",,,,,,-1
95,"""为什么兔肉没有成为大部分地区人类的主食？""",,,,,,0
96,"""用中华小当家的口吻描述热干面？""",,,,,,1
97,"""方便面里放什么食材会让人惊为天人，泪流满面？""",,,,,,1
98,"""吃狗粮是种怎样的体验？""",,,,,,0
99,"""《西游记》中提到了几种烹饪唐僧的方法？""",,,,,,0
101,"""普通女生的饭量是怎样的？""",,,,,,
103,"""有什么相见恨晚的零食？""",,,,,,
104,"""生活中有哪些不常见但是超赞的好吃搭配？""",,,,,,
105,"""上海有哪些深藏不露的餐馆？""",,,,,,
106,"""如果古代皇帝想尝尝月亮的味道，而你是御厨，你怎么大开脑洞?""",,,,,,
107,"""大学生有什么好的晚餐搭配？""",,,,,,
108,"""西安有哪些深藏不露的餐馆？""",,,,,,
110,"""小龙虾如何做比较好吃？""",,,,,,
111,"""为什么有些人怎么吃都不胖？""",,,,,,
112,"""如何掌握做超级好吃便当的技能？""",,,,,,
113,"""如何做正宗的黄金蛋炒饭？先放蛋黄，还是蛋黄与饭搅和在一起，然后下锅？""",,,,,,
114,"""如果我来你的城市旅行，有哪些美食是不可错过的？""",,,,,,
115,"""有一个不会做饭的女友是一种怎样的体验?""",,,,,,
116,"""味精毁了中国的美食吗？""",,,,,,
118,"""北京有哪些深藏不露的餐馆？""",,,,,,
